No.	NAME	Me	O%	Psi_i_A	Psi_e_A	MPC10	X4Av	VR1_D/Dt	J_Dz(e)	J_Dz(i)	VE1sign_B(m)	VE2sign_B(m)	SpPosA_B(e)	VE1sign_B(e)	VE2sign_B(e)	VE1sign_B(i)	VE2sign_B(i)	AVS_B(s)	ChiA_B(s)	SpPosA_B(s)	SpMAD_B(s)	SM3_B(s)	SM4_B(s)	SM5_B(s)	SM6_B(s)	ATSC2s	MATS8m	MATS8e	MATS8s	SpMax2_Bh(s)	P_VSA_LogP_2	P_VSA_LogP_4	P_VSA_LogP_5	P_VSA_m_3	P_VSA_v_2	P_VSA_e_5	P_VSA_p_2	P_VSA_ppp_A	Eta_epsi_A	Eta_L_A	Eta_FL_A	SM08_AEA(dm)	SM09_AEA(dm)	SM09_AEA(ri)	SM10_AEA(ri)	Eig14_EA	Eig15_EA	Eig14_EA(ed)	Eig15_EA(ed)	Eig14_EA(bo)	Eig15_EA(bo)	Eig02_EA(dm)	Eig15_EA(dm)	Eig14_EA(ri)	Eig15_EA(ri)	Eig14_AEA(bo)	Eig14_AEA(dm)	Eig15_AEA(dm)	Eig14_AEA(ri)	Eig15_AEA(ri)	PJI3	VE1sign_G	VE1sign_RG	TDB01s	TDB02s	TDB03s	TDB04s	Mor06m	Mor06v	Mor28v	Mor03p	Mor28p	Mor06s	Mor14s	Mor21s	Mor31s	G1u	G3u	G1m	G1v	G1e	G1p	G1i	G3i	G1s	Gu	Gm	R5m	R5m+	R4p	R5p	nCconj	nRCOOR	nROR	nO(C=O)2	nCH2RX	C-015	C-018	C-040	O-059	O-060	SdCH2	SdssC	NdCH2	NdssC	B02[O-O]	B05[O-Cl]	F02[O-O]	F05[O-Cl]	Qmean	Q2	LDI	TPSA(NO)	SAacc	CATS3D_04_AA	Molecule	U	V
1	*****	0.977	0.0	1.889	7.389	3.401	0.045	13.616	2.6427	2.6427	0.117	0.010	1.391	0.117	0.010	0.117	0.010	4.712	0.210	2.010	1.692	5.745	7.128	8.542	9.985	4.805	0.000	0.000	0.000	4.299	0.000	0.000	11.517	0.000	0.000	0.000	0.000	0.000	0.540	0.188	0.308	-2.000	0.000	-6.817	0.000	-2.000	0.000	-6.817	0.000	-3.000	0.000	0.000	0.000	-2.000	0.000	-0.555	-2.000	0.000	-1.000	0.000	0.883	0.000	0.087	3.889	6.428	8.055	10.203	0.547	-0.031	-0.008	-1.359	-0.010	-3.023	-1.732	-0.550	0.583	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.573	0.573	0.070	0.016	0.407	0.226	2	0	0	0	0	0	0	0	0	0	0.000	0.000	0	0	0	0	0	0	0.050	0.057	0.056	0.000	0.000	0	Acenaphthalene.mol2	1.33	-0.46
2	*****	0.975	0.0	2.271	7.771	0.000	0.053	7.596	3.0494	3.0494	0.038	0.005	1.359	0.038	0.005	0.038	0.005	4.821	0.211	2.348	1.766	5.731	7.252	8.813	10.403	3.131	0.000	0.000	0.000	4.681	0.000	0.000	3.186	0.000	0.000	0.000	0.000	0.000	0.529	0.164	0.327	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.931	0.216	0.107	4.606	7.202	9.200	12.393	0.286	-0.144	0.097	-0.218	0.083	-4.036	0.436	-1.208	-0.400	0.208	1.000	0.208	0.208	0.208	0.208	0.208	1.000	0.208	0.536	0.351	0.035	0.021	0.238	0.109	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0	0	0	0	0	0	0.066	0.068	0.081	0.000	0.000	0	Acetylene,phenyl	-1.88	0.37
3	*****	0.998	9.1	3.133	8.633	0.000	0.000		3.2951	3.2677	0.294	0.059	1.341	0.294	0.059	0.280	0.056	5.187	0.204	3.165	2.185	6.234	8.144	10.099	12.077	11.990	0.000	0.000	0.000	4.640	15.767	48.340	3.186	25.145	25.145	25.145	25.145	25.145	0.552	0.190	0.264	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.888	0.082	0.352	4.909	7.377	14.051	10.707	0.159	-0.034	-0.033	-0.075	-0.065	-0.873	0.956	-0.935	0.098	0.224	0.621	0.224	0.224	0.296	0.224	0.224	0.621	0.224	0.315	0.315	0.000	0.000	0.247	0.000	3	0	0	0	0	1	0	0	0	0	3.306	0.574	1	1	0	0	0	0	0.081	0.139	0.122	17.070	25.145	0	Acrolein,methyl.mol2	1.73	0.77
4	*****	1.012	12.5	3.500	9.000	0.000	0.000		2.8396	2.8066	0.046	0.011	1.343	0.045	0.011	0.030	0.008	5.516	0.201	3.500	2.327	6.205	8.130	10.091	12.073	11.062	0.000	0.000	0.000	4.654	15.767	48.340	0.000	25.145	25.145	25.145	25.145	25.145	0.596	0.145	0.334	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.890	0.035	0.176	5.993	9.714	15.225	16.200	-0.109	-0.195	0.005	0.092	-0.018	-3.886	1.092	-0.038	0.103	0.308	1.000	0.308	0.364	0.364	0.308	0.308	1.000	0.308	0.425	0.425	0.000	0.000	0.062	0.000	3	0	0	0	0	1	0	0	0	0	3.111	0.000	1	0	0	0	0	0	0.105	0.140	0.158	17.070	25.145	0	Acrolein.mol2	-2.75	0.59
5	*****	0.970	1.6	1.899	7.399	2.639	0.156		3.0332	3.0535	0.116	0.005	1.250	0.117	0.005	0.121	0.005	3.930	0.267	1.954	1.509	6.621	8.341	10.190	12.114	21.236	0.002	-0.006	-0.013	4.658	76.436	29.850	0.000	25.145	43.156	25.145	43.156	25.145	0.462	0.422	0.069	-0.728	-1.000	-1.384	-1.951	-0.728	-1.000	-1.384	-1.951	-0.754	-1.035	0.000	0.000	-0.730	-1.004	0.350	-0.562	-0.825	0.278	0.007	0.931	0.085	0.186	2.724	4.198	5.002	6.305	2.959	3.264	-0.697	-5.458	-0.881	15.763	3.334	-3.404	4.099	0.157	0.344	0.150	0.150	0.150	0.150	0.150	0.308	0.143	0.215	0.219	0.085	0.008	0.463	0.310	3	0	0	0	0	1	0	1	0	0	3.444	-0.050	1	1	0	0	0	0	0.049	0.344	0.087	29.100	43.156	0	Acrylamide,N-octadecyl.mol2	1.56	0.35
6	*****	1.020	10.0	3.533	9.033	0.000	0.000		3.4143	3.4606	0.197	0.039	1.378	0.198	0.040	0.200	0.040	5.587	0.192	3.533	2.150	6.351	8.228	10.154	12.112	17.462	0.000	0.000	0.000	4.914	48.664	29.850	0.000	25.145	58.042	25.145	58.042	25.145	0.617	0.163	0.291	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.632	0.017	0.206	5.894	13.080	16.981	13.814	-0.119	-0.228	0.012	0.029	-0.001	-5.303	-0.426	0.829	-0.404	0.231	1.000	0.231	0.231	0.231	0.231	0.231	1.000	0.231	0.377	0.393	0.002	0.001	0.162	0.046	3	0	0	0	0	1	0	1	0	0	3.086	-0.481	1	1	0	0	0	0	0.140	0.295	0.300	43.090	58.042	0	Acrylamide.mol2	-1.82	-0.07
7	*****	1.036	17.4	3.292	8.792	0.000	0.057		4.4399	4.3660	0.264	0.022	1.393	0.265	0.022	0.297	0.025	5.494	0.207	3.331	2.370	7.270	9.208	11.181	13.174	64.416	-0.106	-0.095	-0.247	7.434	22.894	32.336	11.000	86.892	92.562	86.892	92.562	92.562	0.659	0.233	0.235	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.674	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.778	0.219	0.139	5.244	10.778	11.712	19.755	0.203	-0.019	-0.067	-0.320	-0.096	-9.158	-0.116	-2.379	1.344	0.181	0.207	0.181	0.181	0.181	0.181	0.181	0.207	0.181	0.206	0.189	0.255	0.048	0.403	0.268	3	1	0	0	0	1	0	1	0	1	3.165	-0.629	1	1	1	0	2	0	0.125	0.858	0.208	72.120	86.892	5	Acrylate,2-nitrobutyl.mol2	-2.39	0.44
8	*****	1.003	9.1	2.542	8.042	0.000	0.049	11.639	2.9919	2.9515	0.025	0.002	1.351	0.025	0.002	0.032	0.003	4.963	0.207	2.610	1.912	6.590	8.374	10.240	12.161	19.091	0.357	0.209	0.215	4.824	15.767	32.336	17.371	36.145	36.145	36.145	36.145	36.145	0.588	0.183	0.296	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.645	0.046	0.308	4.673	8.430	11.710	15.268	0.671	0.161	0.052	-0.812	0.012	-2.587	-1.389	-0.931	-0.075	0.211	0.238	0.183	0.183	0.238	0.183	0.183	0.211	0.183	0.210	0.183	0.214	0.025	0.431	0.327	3	1	0	0	0	1	0	1	0	1	3.621	-0.001	1	2	1	0	1	0	0.100	0.463	0.157	26.300	36.145	0	Acrylate,a-phenyl,methyl.mol2	-2.13	1.20
9	*****	1.003	9.1	2.528	8.028	1.099	0.053	11.649	2.6878	2.6064	0.093	0.008	1.361	0.092	0.008	0.085	0.007	4.933	0.212	2.582	1.929	6.586	8.369	10.235	12.156	17.777	-0.047	0.024	-0.098	4.782	20.359	32.336	14.185	36.145	36.145	36.145	36.145	36.145	0.588	0.186	0.300	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.636	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.769	0.081	0.133	4.588	8.638	10.405	12.341	0.425	-0.165	-0.009	-0.426	-0.039	-5.848	-0.484	-0.227	0.745	0.183	0.211	0.183	0.183	0.183	0.183	0.183	0.238	0.183	0.201	0.210	0.143	0.027	0.359	0.238	3	1	0	0	0	1	0	1	0	1	3.298	-0.390	1	1	1	0	1	0	0.100	0.460	0.165	26.300	36.145	0	Acrylate,benzyl.mol2	-2.68	0.28
10	*****	0.998	9.5	2.630	8.130	0.000	0.075		3.4572	3.3301	0.113	0.013	1.313	0.114	0.013	0.135	0.015	4.664	0.232	2.649	1.903	6.415	8.250	10.158	12.108	21.427	0.073	0.147	0.012	4.683	25.428	32.336	11.000	36.145	36.145	36.145	36.145	36.145	0.544	0.297	0.182	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.775	0.159	0.184	3.960	7.050	8.408	11.297	0.152	-0.267	-0.065	-0.404	-0.103	-4.506	0.591	-0.231	1.585	0.215	0.777	0.215	0.185	0.185	0.215	0.215	0.777	0.185	0.314	0.293	0.084	0.024	0.277	0.181	3	1	0	0	0	1	0	1	0	1	3.265	-0.330	1	1	1	0	1	0	0.089	0.433	0.171	26.300	36.145	0	Acrylate,butyl.mol2	-2.22	0.12
11	*****	1.013	13.3	2.952	8.452	0.000	0.067		3.6944	3.5214	0.128	0.018	1.336	0.129	0.018	0.151	0.022	4.993	0.215	2.952	2.006	6.374	8.230	10.149	12.104	18.895	0.000	0.000	0.000	4.685	20.359	32.336	11.000	36.145	36.145	36.145	36.145	36.145	0.589	0.235	0.237	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.827	0.098	0.163	4.695	9.145	11.654	17.204	-0.018	-0.321	-0.026	0.052	-0.053	-5.347	-0.352	-0.021	0.854	0.204	0.584	0.204	0.204	0.204	0.204	0.204	0.584	0.204	0.289	0.289	0.066	0.024	0.191	0.169	3	1	0	0	0	1	0	1	0	1	3.205	-0.359	1	1	1	0	1	0	0.111	0.423	0.216	26.300	36.145	0	Acrylate,ethyl.mol2	-1.99	0.08
12	*****	1.025	16.7	3.194	8.694	0.000	0.083		3.7388	3.5721	0.067	0.011	1.357	0.068	0.011	0.089	0.015	5.241	0.201	3.194	2.120	6.354	8.224	10.149	12.106	19.030	0.000	0.000	0.000	4.692	15.767	32.336	11.000	36.145	36.145	36.145	36.145	36.145	0.628	0.184	0.284	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.648	0.034	0.321	5.488	10.846	16.639	17.000	0.024	-0.143	-0.037	0.292	-0.059	-3.486	-0.821	0.072	0.474	0.281	1.000	0.218	0.218	0.218	0.218	0.218	1.000	0.218	0.394	0.362	0.022	0.005	0.195	0.123	3	1	0	0	0	1	0	1	0	1	3.157	-0.394	1	1	1	0	1	0	0.134	0.425	0.249	26.300	36.145	0	Acrylate,methyl.mol2	-2.34	0.16
13	*****	0.985	6.1	2.282	7.782	1.386	0.124		3.1896	3.1274	0.105	0.008	1.282	0.106	0.008	0.128	0.010	4.312	0.250	2.318	1.727	6.493	8.289	10.177	12.117	21.651	-0.007	-0.084	-0.105	4.683	35.566	32.336	11.000	36.145	36.145	36.145	36.145	36.145	0.504	0.359	0.126	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.862	0.214	0.188	3.315	5.540	6.279	8.035	0.569	0.220	-0.238	-2.118	-0.298	-0.122	1.435	-1.791	1.086	0.182	0.355	0.165	0.165	0.165	0.165	0.165	0.355	0.165	0.246	0.210	0.073	0.010	0.355	0.239	3	1	0	0	0	1	0	1	0	1	3.325	-0.312	1	1	1	0	1	0	0.070	0.450	0.127	26.300	36.145	0	Acrylate,Ocytl.mol2	3.01	0.41
14	*****	0.973	3.2	1.942	7.442	2.639	0.152		3.0597	3.0408	0.104	0.005	1.256	0.105	0.005	0.127	0.006	3.973	0.265	1.996	1.532	6.665	8.381	10.221	12.138	27.856	0.002	-0.010	-0.016	4.684	60.912	32.336	11.000	36.145	36.145	36.145	36.145	36.145	0.470	0.420	0.071	-0.728	-1.000	-1.384	-1.951	-0.728	-1.000	-1.384	-1.951	-0.754	-1.035	0.000	0.000	-0.724	-0.994	0.350	-0.487	-0.778	0.271	0.000	0.945	0.111	0.185	2.794	4.446	5.054	6.456	1.684	1.909	-0.711	-5.220	-0.902	7.378	4.006	-3.893	3.462	0.143	0.384	0.143	0.143	0.143	0.143	0.143	0.362	0.143	0.271	0.247	0.089	0.009	0.453	0.308	3	1	0	0	0	1	0	1	0	1	3.381	-0.300	1	1	1	0	1	0	0.053	0.492	0.091	26.300	36.145	0	Acrylate,Ocytldecyl.mol2	-3.01	0.24
15	*****	1.034	13.3	3.035	8.535	0.000	0.069		3.6404	3.4600	0.109	0.014	1.355	0.096	0.012	0.116	0.015	5.072	0.215	3.035	2.062	6.504	8.328	10.217	12.150	25.306	0.000	0.000	0.000	4.754	23.209	32.336	11.000	36.145	36.145	36.145	36.145	36.145	0.661	0.254	0.222	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.931	0.050	0.144	5.163	10.196	14.467	17.729	0.822	0.002	-0.050	-0.454	-0.076	-1.580	-0.855	-0.405	1.087	0.204	0.584	0.204	0.204	0.204	0.204	0.204	0.584	0.204	0.319	0.326	0.289	0.172	0.206	0.199	3	1	0	0	1	1	0	1	0	1	3.196	-0.425	1	1	1	1	1	1	0.123	0.445	0.216	26.300	36.145	0	Acrylate,2-chloroethyl.mol2	2.38	0.25
16	*****	1.052	16.7	3.278	8.778	0.000	0.094		4.1250	3.9365	0.055	0.008	1.385	0.138	0.020	0.125	0.018	5.347	0.194	3.302	2.015	6.490	8.325	10.221	12.156	25.868	0.000	0.000	0.000	4.941	15.767	35.837	11.000	36.145	36.145	36.145	36.145	36.145	0.718	0.205	0.249	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.706	0.072	0.318	6.182	12.866	26.828	19.365	1.034	0.283	-0.065	-0.251	-0.090	1.253	-0.493	-0.621	0.199	0.218	1.000	0.218	0.218	0.218	0.218	0.218	1.000	0.218	0.362	0.362	0.078	0.023	0.214	0.200	3	1	0	0	0	1	0	1	0	1	3.117	-0.677	1	2	1	0	1	0	0.143	0.448	0.261	26.300	36.145	0	Acrylate,a_chloro-,methyl.mol2	-1.55	0.64
17	*****	1.040	15.4	3.417	8.917	0.000	0.042		4.2783	4.1710	0.020	0.002	1.400	0.019	0.002	0.014	0.002	5.662	0.189	3.449	2.269	6.800	8.683	10.604	12.548	28.630	0.000	0.000	0.000	6.819	15.767	48.938	45.245	36.145	67.204	36.145	67.204	67.204	0.695	0.165	0.300	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.674	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.915	0.056	0.317	6.624	12.248	24.808	32.132	-0.230	-0.222	-0.025	0.138	-0.052	-7.997	0.150	-0.652	0.005	0.269	1.000	0.213	0.213	0.213	0.213	0.269	1.000	0.213	0.385	0.356	0.070	0.037	0.230	0.169	3	1	0	0	0	1	0	2	0	1	3.108	-0.847	1	2	1	0	1	0	0.150	0.492	0.250	50.090	67.204	1	Acrylate,a_cyano-,methyl.mol2	-1.09	1.20
18	*****	0.998	0.0	3.375	8.875	0.000	0.000		2.9601	2.9849	0.019	0.005	1.394	0.020	0.005	0.002	0.000	5.550	0.193	3.375	2.134	5.994	7.822	9.687	11.574	5.270	0.000	0.000	0.000	4.630	15.767	16.602	31.059	0.000	31.059	0.000	31.059	31.059	0.586	0.143	0.336	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.752	0.124	0.150	6.871	10.161	17.153	24.159	-0.078	-0.180	-0.013	0.285	-0.020	-3.858	1.690	-0.156	0.090	0.333	1.000	0.263	0.263	0.263	0.263	0.263	1.000	0.263	0.444	0.410	0.000	0.000	0.051	0.000	0	0	0	0	0	1	0	1	0	0	3.118	0.000	1	0	0	0	0	0	0.080	0.064	0.135	23.790	31.059	0	Acrylonitrile.mol2	-2.60	0.42
19	*****	1.052	12.5	3.556	9.056	0.000	0.000		3.4784	3.3785	0.092	0.018	1.395	0.188	0.038	0.212	0.042	5.609	0.191	3.556	2.163	6.362	8.237	10.162	12.118	17.162	0.000	0.000	0.000	4.712	15.767	30.593	0.000	25.145	25.145	25.145	25.145	25.145	0.732	0.181	0.273	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.767	0.117	0.152	6.860	18.286	19.906	20.864	0.837	0.215	-0.008	-0.223	-0.032	2.403	-0.348	-0.371	0.427	0.250	1.000	0.250	0.250	0.250	0.250	0.250	1.000	0.250	0.450	0.397	0.000	0.000	0.113	0.000	3	0	0	0	0	1	0	1	0	0	3.079	-0.509	1	1	0	0	0	0	0.104	0.156	0.216	17.070	25.145	0	Acryloylchloride.mol2	3.50	1.09
20	*****	1.013	13.3	2.952	8.452	0.000	0.059		3.4859	3.3129	0.225	0.032	1.369	0.226	0.032	0.254	0.036	4.993	0.214	2.952	2.007	6.374	8.231	10.150	12.106	18.773	0.000	0.000	0.000	4.759	20.359	32.336	11.000	36.145	36.145	36.145	36.145	36.145	0.589	0.229	0.238	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.828	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.750	0.002	0.261	4.698	9.131	11.169	12.954	-0.144	-0.361	-0.033	-0.027	-0.058	-4.532	0.006	0.276	0.461	0.204	0.250	0.204	0.204	0.204	0.204	0.204	0.204	0.204	0.234	0.225	0.098	0.051	0.219	0.168	0	1	0	0	0	1	0	1	0	1	3.355	-0.264	1	1	1	0	1	0	0.115	0.418	0.205	26.300	36.145	0	Allylacetate.mol2	-0.37	-1.97
21	*****	0.997	0.0	2.653	8.153	0.000	0.000		2.4441	2.3871	0.185	0.046	1.297	0.100	0.025	0.088	0.022	4.461	0.233	2.653	1.713	5.160	6.623	8.104	9.593	7.380	0.000	0.000	0.000	4.432	18.616	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.554	0.306	0.173	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.531	0.017	0.210	4.432	6.972	9.375	7.397	0.471	0.013	-0.059	-0.202	-0.067	-1.031	-0.148	-0.193	0.809	0.335	0.516	0.240	0.240	0.240	0.240	0.240	0.516	0.240	0.387	0.255	0.000	0.000	0.180	0.000	0	0	0	0	1	1	0	0	0	0	3.347	0.000	1	0	0	0	0	0	0.066	0.046	0.095	0.000	0.000	0	Allylchloride.mol2	-0.39	-1.53
22	*****	0.978	0.0	2.152	7.652	0.000	0.052	10.627	3.1277	3.2902	0.095	0.009	1.348	0.095	0.009	0.088	0.008	4.592	0.216	2.213	1.635	5.807	7.204	8.626	10.065	8.450	0.995	0.556	0.797	4.662	49.629	0.000	5.881	0.000	3.124	0.000	3.124	3.124	0.518	0.183	0.307	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.791	0.013	0.175	4.190	6.515	8.265	11.338	0.791	0.046	-0.078	-0.761	-0.123	-3.254	0.107	0.241	1.228	0.183	1.000	0.183	0.183	0.183	0.183	0.183	1.000	0.183	0.568	0.568	0.135	0.020	0.287	0.295	0	0	0	0	0	2	2	0	0	0	7.326	0.000	2	0	0	0	0	0	0.066	0.154	0.115	3.240	3.124	0	Aniline,N,N-divinyl.mol2	-0.08	-0.73
23	*****	1.052	12.5	3.556	9.056	0.000	0.000		3.4784	3.3785	0.092	0.018	1.395	0.188	0.038	0.212	0.042	5.609	0.191	3.556	2.163	6.362	8.237	10.162	12.118	17.162	0.000	0.000	0.000	4.712	15.767	30.593	0.000	25.145	25.145	25.145	25.145	25.145	0.732	0.181	0.273	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.767	0.117	0.152	6.860	18.286	19.906	20.866	0.837	0.215	-0.008	-0.223	-0.032	2.405	-0.349	-0.369	0.428	0.250	1.000	0.250	0.250	0.250	0.250	0.250	1.000	0.250	0.450	0.397	0.000	0.000	0.113	0.000	3	0	0	0	0	1	0	1	0	0	3.079	-0.509	1	1	0	0	0	0	0.104	0.156	0.216	17.070	25.145	0	acryloylchloride	-3.50	1.09
24	*****	0.995	0.0	2.056	7.556	1.946	0.091	12.648	2.6895	2.5412	0.051	0.004	1.392	0.007	0.001	0.034	0.003	4.691	0.212	2.156	1.642	5.867	7.277	8.720	10.190	4.639	0.401	0.403	0.000	4.676	23.608	16.786	2.144	0.000	16.786	0.000	16.786	16.786	0.602	0.233	0.258	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.925	0.215	0.164	4.557	7.552	9.351	13.018	3.031	1.064	0.043	-1.681	0.044	1.564	-0.631	-0.579	0.466	0.191	1.000	0.191	0.191	0.191	0.191	0.191	1.000	0.191	0.350	0.331	0.153	0.042	0.322	0.200	0	0	0	0	0	1	1	0	0	0	3.656	0.000	1	0	0	0	0	0	0.072	0.136	0.121	12.890	16.786	0	Benzothiazole,vinylmercapto-.mol2	-0.38	-0.38
25	*****	1.023	15.4	3.381	8.881	0.000	0.050		3.6191	3.5697	0.156	0.022	1.391	0.157	0.022	0.181	0.026	5.540	0.198	3.402	2.277	6.665	8.537	10.448	12.384	26.688	0.000	0.000	0.000	6.351	15.767	68.738	0.000	67.828	67.828	67.828	67.828	67.828	0.633	0.170	0.297	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.909	0.018	0.116	5.887	14.356	12.875	17.296	-0.076	-0.146	-0.043	-0.251	-0.049	-7.548	-0.941	0.379	-0.633	0.269	1.000	0.213	0.213	0.213	0.213	0.213	1.000	0.213	0.446	0.356	0.096	0.039	0.145	0.099	5	0	0	0	0	1	0	1	0	0	3.283	-0.945	1	1	1	0	1	0	0.146	0.520	0.265	37.300	67.828	0	butadiene,1-carboxylicacid.mol2	-2.00	0.94
26	*****	0.997	0.0	2.756	8.256	0.000	0.000		3.3748	3.3093	0.137	0.027	1.351	0.228	0.046	0.238	0.048	4.809	0.205	2.775	1.715	5.462	6.937	8.436	9.950	6.450	0.000	0.000	0.000	4.491	31.534	3.501	0.000	0.000	0.000	0.000	0.000	0.000	0.569	0.196	0.258	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.611	0.011	0.059	5.184	9.294	12.513	10.892	0.676	0.119	-0.071	-0.109	-0.081	-0.014	-0.136	-0.297	0.593	0.231	1.000	0.231	0.231	0.231	0.231	0.231	1.000	0.231	0.417	0.377	0.002	0.000	0.179	0.031	4	0	0	0	0	2	0	0	0	0	6.650	0.491	2	1	0	0	0	0	0.063	0.042	0.116	0.000	0.000	0	Butadiene,2-chloro-.mol2	-2.18	1.44
27	*****	1.016	0.0	3.533	9.033	0.000	0.000		3.4654	3.5033	0.203	0.041	1.384	0.213	0.043	0.206	0.041	5.587	0.194	3.539	2.290	6.540	8.537	10.585	12.660	13.462	0.000	0.000	0.000	4.751	31.534	9.121	0.000	14.960	14.960	0.000	0.000	0.000	0.611	0.167	0.287	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.606	0.007	0.038	5.857	12.471	17.521	13.669	0.076	-0.143	-0.098	0.175	-0.109	-2.659	-1.330	0.320	0.731	0.406	1.000	0.406	0.406	0.406	0.406	0.406	1.000	0.406	0.455	0.455	0.002	0.000	0.113	0.033	4	0	0	0	0	2	0	0	0	0	5.975	-0.481	2	1	0	0	0	0	0.080	0.086	0.150	0.000	14.960	0	Butadiene,2-fluoro-.mol2	-1.32	0.51
28	*****	1.018	14.3	2.810	8.310	1.099	0.054		4.1404	4.0320	0.000	0.000	1.358	0.000	0.000	0.000	0.000	4.972	0.217	2.831	1.985	7.025	8.892	10.821	12.783	33.902	0.217	0.112	0.042	7.431	9.185	64.673	22.000	72.290	72.290	72.290	72.290	72.290	0.610	0.246	0.233	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.674	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.906	0.000	0.145	4.564	9.244	10.214	16.893	0.670	0.030	-0.069	-0.545	-0.114	-3.494	-0.711	-1.798	-0.359	0.493	0.569	0.344	0.344	0.344	0.344	0.344	0.569	0.344	0.364	0.295	0.116	0.016	0.223	0.190	6	2	0	0	0	0	0	2	0	2	0.000	-0.859	0	2	1	0	2	0	0.113	0.833	0.208	52.600	72.290	0	butadiene,dicarboxylate,diethyl	-2.18	0.82
